QuestionID;Type;Question;Choix;Réponse;Thème;RéférenceCours;MotCléRecherchePDF;Leçon;PagePDF;TexteRecherchePDF
"1";"VraiFaux";"Un virus peut-il être caché dans un fichier PDF ou dans une photo ?";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"virus PDF photo";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"virus PDF photo"
"2";"VraiFaux";"Est-il prudent de cliquer sur un lien envoyé par une personne inconnue ?";"";"Faux";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"liens inconnus prudence";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"liens inconnus prudence"
"3";"QCM";"Quels moyens sont souvent utilisés pour transmettre un virus informatique ?";"Une clé USB.|Une pièce jointe reçue par e-mail.|Un lien reçu dans un SMS ou WhatsApp.|Une imprimante.";"Une clé USB.|Une pièce jointe reçue par e-mail.|Un lien reçu dans un SMS ou WhatsApp.";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"sources infection";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"sources infection"
"4";"Compléter";"Quel est le nom du logiciel antivirus installé sur l’ordinateur ?";"";"Malwarebytes";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"Malwarebytes";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"Malwarebytes"
"5";"QCM";"Quels signes peuvent montrer que l’ordinateur est infecté par un virus ?";"Un ralentissement de l’ordinateur.|La souris se bloque.|L’ordinateur redémarre en boucle.|Il démarre beaucoup plus rapidement.";"Un ralentissement de l’ordinateur.|La souris se bloque.|L’ordinateur redémarre en boucle.";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"symptômes infection";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"symptômes infection"
"6";"VraiFaux";"Faut-il devenir paranoïaque pour éviter toutes les attaques informatiques ?";"";"Faux";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"rester prudent";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"rester prudent"
"7";"QCM";"Quels sont les trois endroits où une sauvegarde est prévue selon le cours ?";"Une clé USB Patriot.|Une sauvegarde chez le formateur.|Google Drive.|Un DVD gravé.";"Une clé USB Patriot.|Une sauvegarde chez le formateur.|Google Drive.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"sauvegarde clé formateur drive";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"sauvegarde clé formateur drive"
"8";"Compléter";"La clé USB Patriot a une capacité d’environ ______ Go.";"";"1000";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"clé Patriot 1 To";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Patriot"
"9";"QCM";"Où faut-il enregistrer ses fichiers pour éviter de les perdre en cas de réinstallation ?";"Dans C:\Users\....|Dans Google Drive.|Sur le Bureau.|Dans Téléchargements.";"Dans Google Drive.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"Google Drive recommandé";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Google Drive recommandé"
"10";"VraiFaux";"OneDrive propose-t-il environ 15 Go gratuits ?";"";"Vrai";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"OneDrive 15 Go";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"OneDrive 15 Go"
"11";"QCM";"Quels types de fichiers un antivirus peut-il analyser avant leur ouverture ?";"Un fichier PDF.|Une photo.|Un fichier ZIP.|Le thème Windows.";"Un fichier PDF.|Une photo.|Un fichier ZIP.";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"analyse antivirus";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"analyse antivirus"
"12";"Compléter";"La bonne pratique est de ________ le dossier Téléchargements régulièrement.";"";"assainir/nettoyer";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"nettoyage Téléchargements";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"nettoyage Téléchargements"
"13";"VraiFaux";"Partager ses mots de passe via une clé USB familiale est-il conseillé ?";"";"Faux";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"mots de passe confidentialité";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"mots de passe confidentialité"
"14";"QCM";"Quel abonnement Google Drive est recommandé dans le cours ?";"L’offre gratuite 15 Go.|L’abonnement Premium Workspace 2 To.|Un abonnement Entreprise 5 To.";"L’abonnement Premium Workspace 2 To.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"Workspace 2 To 99,99€";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Workspace 2 To 99,99€"
"15";"Compléter";"La sauvegarde système est effectuée avec __________ Reflect.";"";"Macrium";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"Macrium Reflect";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Macrium Reflect"
"16";"VraiFaux";"Une sauvegarde trimestrielle avec Macrium Reflect est-elle recommandée ?";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"sauvegarde trimestrielle";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"sauvegarde trimestrielle"
"17";"QCM";"Que faut-il faire après un nettoyage réussi avec Glary Utilities ?";"Éteindre l’ordinateur.|Redémarrer l’ordinateur.|Désinstaller Glary.";"Redémarrer l’ordinateur.";"Divers & Maintenance PC";"Leçon 033 — Glary Utilities";"Glary redémarrer";"Leçon 033 — Glary Utilities";"42";"Glary redémarrer"
"18";"Compléter";"En cas d’erreur disque détectée par Glary Utilities, il faut __________.";"";"appeler le formateur";"Divers & Maintenance PC";"Leçon 033 — Glary Utilities";"erreur disque appeler";"Leçon 033 — Glary Utilities";"43";"erreur disque appeler"
